Jaccard;length_real;length_calc;user;length_dif
0.739;37276;13909;193;23367
0.915;11456;9727;203;1729
0.0;0;0;221;0
0.288;67678;40131;284;27547
0.0;0;0;310;0
0.042;71339;19062;465;52277
0.218;126904;51503;468;75401
0.326;103689;40547;475;63142
0.291;66815;35352;495;31463
0.604;63514;49157;636;14357
0.623;161983;145899;649;16084
0.243;563997;180197;650;383800
0.42;31114;18287;867;12827
0.0;0;0;871;0
0.665;179624;117253;945;62371
0.0;0;0;1044;0
1.0;12354;12353;1047;1
0.785;12343;10345;1051;1998
1.0;55870;55870;1059;0
0.611;67011;49001;1068;18010
0.0;0;0;1076;0
0.0;0;0;1110;0
0.306;117840;58961;1120;58879
0.0;0;0;1151;0
1.0;20854;20854;1167;0
0.0;0;0;1175;0
0.826;30245;21424;1199;8821
0.149;177428;51102;1202;126326
0.089;15494;6781;1283;8713
0.353;146827;108758;1459;38069
0.199;49265;17514;1500;31751
0.636;22599;20114;1538;2485
0.309;34659;23858;1551;10801
0.339;339869;196104;1575;143765
0.733;79252;61666;1606;17586
0.436;150390;118134;1607;32256
0.405;72155;50605;1619;21550
0.346;191283;119563;1651;71720
0.481;67666;48577;1735;19089
0.856;30155;28209;1816;1946
0.205;57402;21111;1849;36291
0.0;0;0;1895;0
0.0;0;0;1990;0
0.164;474771;186716;1996;288055
0.0;0;0;2024;0
0.898;7350;6177;2034;1173
0.547;34262;20699;2084;13563
0.37;204673;155341;2130;49332
0.172;437888;224200;2133;213688
0.0;0;0;2140;0
0.0;0;0;2228;0
0.0;0;0;2241;0
0.0;0;0;2245;0
0.983;4225;4242;2281;17
0.0;0;0;2282;0
0.292;71000;35528;2297;35472
0.455;62266;45610;2307;16656
0.0;0;0;2310;0
0.663;11640;9283;2351;2357
1.0;0;0;2354;0
0.147;27865;9561;2413;18304
1.0;2447;2447;2418;0
0.256;22855;8870;2419;13985
0.606;18655;11368;2420;7287
0.374;122821;78104;2431;44717
0.0;0;0;2463;0
0.174;3394;370;2466;3024
0.0;0;0;2486;0
0.0;0;0;2497;0
0.292;62532;38995;2534;23537
0.845;41313;21634;2565;19679
0.0;0;0;2569;0
0.0;0;0;2577;0
0.014;64946;18000;2648;46946
0.138;16446;5250;2889;11196
0.882;2395;2307;2905;88
0.0;0;0;3036;0
1.0;0;0;3038;0
0.584;60169;45294;3093;14875
0.0;0;0;3138;0
0.0;0;0;3289;0
0.0;0;0;3299;0
0.282;120290;82757;3332;37533
0.6;3996;2265;3500;1731
0.0;0;0;3549;0
0.751;124658;99371;3662;25287
0.239;293719;154128;3667;139591
0.0;0;0;3676;0
0.285;294576;141911;3687;152665
0.376;387675;185280;3688;202395
0.101;374422;145434;3689;228988
0.0;0;0;3690;0
0.0;0;0;3691;0
0.201;328402;134344;3692;194058
0.188;647935;187158;3694;460777
0.405;443567;245543;3695;198024
0.289;950264;322991;3696;627273
0.227;541114;215256;3697;325858
0.316;768833;312737;3700;456096
0.262;168378;75928;3702;92450
0.252;734517;279654;3703;454863
0.0;0;0;3704;0
0.235;30775;19563;3706;11212
0.111;84579;36745;3709;47834
0.278;512843;200523;3713;312320
0.281;200196;101784;3718;98412
0.199;90826;50038;3720;40788
0.0;0;0;3722;0
0.46;207304;144908;3734;62396
0.164;92161;36963;3736;55198
0.0;0;0;3738;0
0.186;580475;190900;3740;389575
0.234;144478;64478;3743;80000
0.159;253813;66651;3745;187162
0.195;463374;159919;3748;303455
0.055;442987;99099;3752;343888
0.465;251533;127560;3753;123973
0.0;0;0;3767;0
0.042;19189;8460;3779;10729
0.0;0;0;4046;0
0.027;35638;16427;4338;19211
0.49;5617;5536;4549;81
0.084;193970;79092;4768;114878
0.308;381148;191637;5032;189511
0.229;21104;10621;5124;10483
0.667;149901;98900;5125;51001
1.0;0;0;5214;0
0.269;54405;27210;5267;27195
0.477;440605;308119;5336;132486
0.22;116872;63177;5393;53695
0.0;0;0;5431;0
0.046;44888;18427;5442;26461
0.343;49585;33381;5469;16204
0.007;20904;7664;5769;13240
0.0;0;0;5848;0
0.321;121449;79127;5891;42322
0.386;266190;194468;5892;71722
0.316;362709;167583;5902;195126
0.0;0;0;5909;0
0.264;24924;20900;5920;4024
0.0;0;0;5988;0
0.026;6986;3420;6013;3566
0.052;74223;16254;6201;57969
0.0;0;0;6304;0
0.0;0;0;6324;0
0.0;0;0;6333;0
0.0;0;0;6679;0
0.737;10189;5836;6793;4353
0.24;42329;35235;6999;7094
0.052;53242;28556;7040;24686
0.105;141699;23700;7042;117999
0.372;714376;278270;7308;436106
0.0;0;0;7311;0
0.0;0;0;7312;0
0.0;0;0;7350;0
0.725;10586;9385;7359;1201
0.479;323797;197668;7364;126129
0.536;91941;80156;7370;11785
0.296;14505;8760;7371;5745
0.123;12449;9624;7381;2825
0.309;97337;32304;7385;65033
0.0;0;0;7428;0
0.186;225512;71454;7434;154058
0.369;99185;33075;7444;66110
0.0;0;0;7452;0
0.127;76143;15432;7488;60711
0.253;784941;370556;7490;414385
0.164;480402;172359;7491;308043
0.0;0;0;7492;0
0.125;108964;41650;7495;67314
0.336;41403;12097;7496;29306
0.426;67928;36684;7497;31244
0.22;349500;178185;7507;171315
0.168;58251;26739;7508;31512
0.49;68814;58150;7509;10664
0.193;1064205;459060;7510;605145
0.194;426270;124921;7513;301349
0.0;0;0;7518;0
0.0;0;0;7519;0
0.49;471001;237783;7524;233218
0.3;303579;172123;7527;131456
0.208;160946;64982;7530;95964
0.0;0;0;7533;0
0.0;0;0;7538;0
0.362;5846;4426;7543;1420
0.0;0;0;7546;0
0.163;219695;96462;7565;123233
0.0;0;0;7574;0
0.453;111033;53645;7578;57388
0.321;317773;182302;7585;135471
0.258;291073;140568;7587;150505
0.328;88475;54164;7588;34311
0.0;0;0;7589;0
0.249;777325;258669;7595;518656
1.0;9153;9153;7599;0
0.21;228059;95093;7648;132966
0.293;380649;130055;7695;250594
0.304;272424;150023;7701;122401
0.0;0;0;7752;0
0.354;307841;184100;7756;123741
0.417;358632;214227;7762;144405
0.202;533128;176829;7763;356299
0.401;90263;57264;7764;32999
0.0;0;0;7779;0
0.0;0;0;7782;0
0.205;222473;67230;7786;155243
0.253;490038;84291;7791;405747
0.197;290007;125195;7795;164812
0.749;41795;31716;7796;10079
0.156;568424;191092;7803;377332
0.311;780985;279013;7804;501972
0.346;706792;279735;7809;427057
0.0;0;0;7812;0
0.0;0;0;7813;0
0.195;639769;219716;7817;420053
0.0;0;0;7819;0
0.238;77872;46099;7944;31773
0.27;1065165;358150;7965;707015
0.106;4385;4360;7974;25
0.652;171808;87110;8098;84698
0.0;0;0;8136;0
0.0;0;0;8173;0
0.0;0;0;8213;0
0.161;112787;62271;8235;50516
0.258;711821;217429;8270;494392
0.0;0;0;8282;0
0.084;167615;34951;8284;132664
0.0;0;0;8288;0
0.546;81623;60153;8292;21470
0.175;135881;61169;8306;74712
0.0;0;0;8313;0
0.347;396064;177823;8358;218241
0.41;30657;27002;8409;3655
0.174;298772;124678;8450;174094
0.354;242515;140090;8452;102425
0.205;60165;41401;8463;18764
0.0;0;0;8535;0
0.0;0;0;8656;0
0.045;81273;18000;8712;63273
0.183;30977;21414;8750;9563
0.282;127182;73421;8792;53761
0.0;0;0;8934;0
0.0;0;0;8941;0
0.0;0;0;8946;0
0.283;33016;20700;9100;12316
0.804;16957;15172;9101;1785
0.131;29312;12445;9104;16867
0.286;486821;173385;9109;313436
1.0;3601;3601;9130;0
0.0;0;0;9171;0
0.327;19121;12593;9189;6528
0.223;357496;145670;9210;211826
0.219;18960;11215;9475;7745
1.0;11017;11017;9481;0
0.0;0;0;9487;0
0.0;0;0;9493;0
0.0;0;0;9544;0
0.659;26221;17721;9575;8500
0.26;111037;69067;9583;41970
0.194;95757;53060;9607;42697
0.194;19846;5984;9614;13862
0.833;412;443;9623;31
0.0;0;0;9628;0
0.21;93993;48557;9631;45436
0.0;0;0;9639;0
0.0;0;0;9691;0
0.699;14630;12046;9698;2584
0.592;214020;150269;9708;63751
0.117;86231;41239;9968;44992
0.073;11700;4314;10102;7386
0.145;70166;24931;10231;45235
0.0;0;0;10364;0
0.0;0;0;11696;0
0.163;43341;18975;11826;24366
0.0;0;0;11829;0
0.0;0;0;11832;0
0.309;224271;112063;11859;112208
